Page,Template,Prompt
Cover,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Chapter 14: Project 1 — Building a ToDo App

**[Visual Direction]**
A high-quality, modern manga cover illustration. Center stage features Alex [Ref: REF_IMG_1] sitting at a desk with a determined smile, typing on a laptop. Behind him, a large holographic projection of a ToDo List application interface floats in the air. David [Ref: REF_IMG_3] stands to the side with arms crossed, smiling approvingly. The Cursor mascot [Ref: REF_IMG_2] is flying near the laptop screen, emitting a soft blue glow. The background is a stylish, modern co-working space in San Francisco with large windows. Title text ""Chapter 14: Project 1 — Building a ToDo App"" is prominent.

**[Target Text]**
(Title Only)"
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Opening Scene

**[Visual Direction]**
Panel 1: Alex [Ref: REF_IMG_1] is in his apartment, looking thoughtful. He is holding a coffee mug, staring at his laptop screen which shows a blank editor.
Panel 2: A video call window pops up on the screen. David [Ref: REF_IMG_3] appears, waving. Alex looks surprised but happy.
Panel 3: David is explaining with a gesture. Alex listens intently, looking inspired.

**[Target Text]**
Panel 1 Alex: ""I've learned Cursor features, but I want to **create an actual project**. However, I don't know **where to start**...""
Panel 1 Alex (thinking): ""`daily_log` was a small project, but I want to create a **larger project**. However, I don't know **how to start**.""

Panel 2 David: ""Let's build a **ToDo app**. A ToDo app is a simple app that can **add, delete, and complete tasks**.""
Panel 2 David: ""You can **integrate** Cursor features learned so far.""
Panel 2 Alex: ""How do I build a ToDo app? I don't know **where to start**...""

Panel 3 David: ""Let's build it **step by step** together.""
Panel 3 David: ""First, make a **project plan**, then use Cursor's **Chat** and **Composer** to build it **step by step**. We'll solve **common problems** together too."""
Page 2,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Chapter Overview

**[Visual Direction]**
A clean, modern infographic layout. Top half shows a mockup of the ""ToDo App"" interface (a list of tasks with checkboxes). Bottom half shows a flow chart with four steps connected by arrows. Cursor [Ref: REF_IMG_2] is pointing at the flow chart.

**[Target Text]**
WHAT WE WILL BUILD:
ToDo App
- Add Tasks
- Delete Tasks
- Complete Tasks

CHAPTER FLOW:
1. Plan Project (14.1)
2. Step-by-Step Implementation (14.2)
3. Solve Common Problems (14.3)
4. Completion & Testing (14.4)

TOOLS:
Chat (Cmd+L), Composer (Cmd+I), Tab, Agent"
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 14.1 Project Planning and Setup

**[Visual Direction]**
Panel 1: David [Ref: REF_IMG_3] is holding up four fingers, listing requirements. Alex [Ref: REF_IMG_1] is taking notes on a notepad.
Panel 2: Alex looks overwhelmed, holding his head slightly.
Panel 3: David smiles and points to the Cursor interface on the screen. Alex looks relieved.

**[Target Text]**
David: Before coding, we plan. We need 4 features: Add, Delete, Complete, and List tasks.
Alex: That sounds like a lot... I don't know how to structure the files.
David: Don't worry. Just ask Cursor's Chat. Tell it what you want to build, and it will suggest the structure for you."
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Project Structure Plan

**[Visual Direction]**
A diagram showing the file structure of the project. It looks like a folder tree. Cursor [Ref: REF_IMG_2] is sitting on top of the folder icon.

**[Target Text]**
PROJECT PLAN

Folder: todo_app/

1. todo.py
   - Main application code
   - Functions: add, delete, complete, list

2. todo_data.json
   - Database file
   - Saves task data (JSON format)

3. test_todo.py
   - Test suite
   - Verifies functionality"
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Consulting Chat for Structure

**[Visual Direction]**
Panel 1: Close up of Alex's hands typing on the keyboard. The screen shows the Cursor Chat window.
Panel 2: The Chat window displays a response. Cursor [Ref: REF_IMG_2] pops out of the screen holding a blueprint.
Panel 3: Alex looks at the blueprint/code suggestion with wide eyes.

**[Target Text]**
Alex (Typing): ""I want to build a ToDo app that can add, delete, complete, and list tasks. Please suggest a project structure.""
Cursor: Here is a suggested structure! `todo.py` for logic, `todo_data.json` for storage.
Alex: It even suggested the functions I need inside `todo.py`! But... how do I write all this code?"
Page 6,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Steps to Consult Chat

**[Visual Direction]**
A step-by-step visual guide. Icons represent each action: Keyboard for shortcuts, Chat bubble for typing, Eye for checking.

**[Target Text]**
HOW TO PLAN WITH CHAT:

1. Open Chat
   - Press Cmd+L (Mac) or Ctrl+L (Win)

2. Enter Your Goal
   - ""I want to build a ToDo app...""

3. Review Suggestion
   - ALWAYS check the output with your own eyes.
   - Understand the proposed structure before moving on."
Page 7,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Creating with Composer

**[Visual Direction]**
Panel 1: David points to the Composer shortcut key on the keyboard. Alex nods.
Panel 2: Alex types a command into the Composer window (floating overlay). The screen glows as code generates.
Panel 3: Alex looks at the generated code, impressed but cautious. David reminds him to check it.

**[Target Text]**
David: Now, use Composer (Cmd+I) to actually create the files. Give it the instructions.
Alex (Typing): ""Create a `todo_app` folder and `todo.py`. Implement features to add, delete, complete, and list tasks.""
David: Wait! Before you click 'Accept', check the code. Understand what features are being implemented."
Page 8,practical_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: The Generated Code

**[Visual Direction]**
A code snippet page showing the Python code for `todo.py`. Key parts are highlighted with annotations.

**[Target Text]**
# todo.py - Generated by Composer

import json
import os
from datetime import datetime

DATA_FILE = ""todo_data.json""

def load_tasks():
    if os.path.exists(DATA_FILE):
        with open(DATA_FILE, ""r"", encoding=""utf-8"") as f:
            return json.load(f)
    return []

def add_task(task):
    tasks = load_tasks()
    tasks.append({""task"": task, ""completed"": False})
    save_tasks(tasks)
    print(f""Task added: {task}"")

def main():
    # Command line argument handling...
    pass

if __name__ == ""__main__"":
    main()"
Page 9,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 14.2 Using Cursor Features Step by Step

**[Visual Direction]**
Panel 1: David creates a holographic staircase labeled ""Workflow"". Alex looks up at it.
Panel 2: Close up on the steps: Tab, Chat, Composer, Agent.
Panel 3: Alex sits down at his desk, cracking his knuckles, ready to code.

**[Target Text]**
David: Let's follow the Cursor Workflow.
David: 1. Write with Tab. 2. Ask with Chat. 3. Build with Composer. 4. Test with Agent.
Alex: I'll try writing the code myself first using Tab. I want to feel the flow."
Page 10,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: The Cursor Workflow

**[Visual Direction]**
A circular flow diagram or a linear process map. Each node has an icon and a description.

**[Target Text]**
STEP-BY-STEP WORKFLOW

1. TAB (Write)
   - Use for single lines or function completions.

2. CHAT (Ask)
   - Use when you don't understand syntax or libraries.

3. COMPOSER (Build)
   - Use for multi-file edits or adding big features.

4. AGENT (Run)
   - Use for running terminal commands and tests."
Page 11,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Coding with Tab

**[Visual Direction]**
Panel 1: Alex is typing `def add_task(task):` and pauses. He looks unsure.
Panel 2: Ghost text appears on his screen. Cursor [Ref: REF_IMG_2] appears next to the text, offering it.
Panel 3: Alex presses Tab with a satisfied ""Click!"" sound effect.

**[Target Text]**
Alex: I know what I want to write, but the exact syntax...
Cursor (Suggestion): 
    tasks = load_tasks()
    task_id = len(tasks) + 1...
Alex: Ah, that's it! Tab to accept. It feels like reading my mind."
