Page,Template,Prompt
Page 1,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_2], [Ref: REF_IMG_3]

**[Heading]**
- Section: Chapter 5: Composer — Advanced Techniques and Practical Usage

**[Visual Direction]**
A high-quality, magazine-style cover illustration. [Ref: REF_IMG_1] (Alex) is sitting at a modern desk with a focused but excited expression, typing on a keyboard. Holographic code screens surround him. [Ref: REF_IMG_3] (David) stands behind him with a supportive smile, pointing at a floating window labeled 'Composer'. [Ref: REF_IMG_2] (Cursor mascot) is flying near the screen, holding a wrench or tool, symbolizing 'building features'. The background is a blurred modern office in Silicon Valley.

**[Target Text]**
Chapter 5
Composer — Advanced Techniques and Practical Usage

Build features just by describing them.
Master the art of AI-powered development."
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1]

**[Heading]**
- Section: Opening Scene: What to Add?

**[Visual Direction]**
Panel 1: [Ref: REF_IMG_1] (Alex) is in his apartment, looking tired. He is staring at his monitor which shows a text file `daily_log.txt` full of messy lines.
Panel 2: Close up on the screen showing dates mixed together. Alex thinks, looking annoyed.
Panel 3: Alex leans back in his chair, sighing. He looks at a sticky note on his monitor that says 'Chapter 3 Goal: Filter by Date'.

**[Target Text]**
Alex: ""Man... `daily_log.txt` is getting huge. Searching for what I did today with my eyes is a pain.""
Alex (thinking): ""I remember Chapter 3's 'Next Steps' mentioned extracting only that day's lines...""
Alex: ""But writing the logic to filter dates in Python myself? I'm worried I'll break the existing code..."""
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: Enter Composer

**[Visual Direction]**
Panel 1: A video call window pops up. [Ref: REF_IMG_3] (David) appears on screen, smiling confidently.
Panel 2: David speaks with a teaching gesture. Alex looks surprised but interested.
Panel 3: Alex sits up straight, ready to type. David is explaining the plan.

**[Target Text]**
Panel 1 David: ""Don't worry, Alex! Let **Composer** handle that.""
Panel 1 David: ""Just **describe** 'add a feature to display only that day's lines with `python log.py --day 2025-01-21`' and it will suggest the necessary changes.""
Panel 1 David: ""It's a practical version of 'building features just by describing' from Chapter 1.""
Panel 1 Alex: ""I don't have to write everything myself. I want to try it.""

Panel 2 Alex: ""I want to review how to open Composer first.""
Panel 2 David: ""Let's start with a **review**. Then we'll add **display only that day's lines** to `daily_log`."""
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: Chapter Roadmap

**[Visual Direction]**
A clean, step-by-step roadmap infographic. [Ref: REF_IMG_2] (Cursor) is guiding the reader through the path. Icons represent each step.
1. Review Composer Basics (5.1)
2. Add ""Display Day"" Feature (5.2)
3. Understand Project Structure (5.3)
4. Advanced Customization (5.4)
5. Agent Mode Experience (5.5)

**[Target Text]**
What we will do in Chapter 5:

GOAL: Add `python log.py --day YYYY-MM-DD` functionality.

1. Review Basics: How to open and instruct Composer.
2. Build Feature: Describe ""filter by date"" and let AI write the code.
3. Context: Teach Composer about your project structure.
4. Fine-tuning: Customize the result with additional prompts.
5. Agent Mode: Let the AI run the code for you."
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: 5.1 Review of Chapter 1 — Composer Basic Operations

**[Visual Direction]**
Panel 1: David is explaining on the screen. Alex nods.
Panel 2: Close up of Alex's hands on the keyboard pressing `Cmd + I` (or Ctrl + I). A ""Click"" sound effect.
Panel 3: The Composer panel slides up from the bottom of the screen. Alex looks at the large input field.

**[Target Text]**
David: ""Remember, Composer is the panel that **generates and changes code** based on your description.""
David: ""Open it with **Cmd+I** (Mac) or **Ctrl+I** (Windows).""
Alex: ""Got it. It opened at the bottom. This is where I write what I want, right?""
David: ""Correct. Since we are **modifying existing files**, being specific is key."""
Page 6,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: Composer Basics Checklist

**[Visual Direction]**
A UI diagram of the Composer window. Arrows point to key elements.
1. **Open**: Shortcut keys displayed prominently.
2. **Input Field**: ""Write specific instructions here.""
3. **Generate Button**: Located at the right/bottom.

**[Target Text]**
Composer Basic Operations

1. OPEN
Mac: Cmd + I
Win: Ctrl + I
(Or select 'Composer' from the menu)

2. INSTRUCT
Write your request in the input field.
Tip: Be specific! ""Add a feature to..."" or ""Don't change X...""

3. GENERATE
Press the Generate button (or Enter) to create code proposals."
Page 7,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: 5.2 Building More Complex Features

**[Visual Direction]**
Panel 1: Alex is typing a long, detailed prompt into Composer. He looks focused.
Panel 2: Close up of the screen showing the prompt text.
Panel 3: Alex hits 'Generate'. He waits with anticipation.

**[Target Text]**
Alex (typing): ""Add a feature to `log.py` that displays only that day's lines from `daily_log.txt` using `python log.py --day YYYY-MM-DD`.""
Alex (typing): ""Keep the existing append feature as is. Date format is YYYY-MM-DD.""
David: ""Excellent. You clearly stated **what to add** and **what to keep**. This prevents the AI from deleting your old code.""
Alex: ""Here goes... Generate!"""
Page 8,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: Understanding the Diff View

**[Visual Direction]**
A visual explanation of the ""Diff"" (Difference) view in Composer. 
- A code block with Green lines marked (+) representing ""Added Code"".
- A code block with Red lines marked (-) representing ""Removed Code"".
- A code block with Yellow lines representing ""Changed Code"".
[Ref: REF_IMG_2] is holding a magnifying glass examining the green lines.

**[Target Text]**
Check the Proposals (Diffs)

After generating, Composer shows you what will change.

[GREEN / +] Added Lines
New code that implements your requested feature.

[RED / -] Removed Lines
Old code that is being replaced or deleted.

[YELLOW] Modified Lines
Small changes to existing lines.

ALWAYS check the diff before Accepting!"
Page 9,practical_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2]

**[Heading]**
- Section: The Code to be Added

**[Visual Direction]**
A clear code snippet window showing the Python code that Composer generated. Key parts are highlighted.

**[Target Text]**
Generated Code for log.py

```python
import sys

# ... imports ...

# When --day is used, display only that day's lines
if len(sys.argv) >= 2 and sys.argv[1] == ""--day"":
    if len(sys.argv) < 3:
        print(""Usage: python log.py --day YYYY-MM-DD"")
        return
    
    day = sys.argv[2]
    log_file = ""daily_log.txt""
    
    try:
        with open(log_file, ""r"", encoding=""utf-8"") as f:
            for line in f:
                if line.startswith(day):
                    print(line.rstrip())
    except FileNotFoundError:
        print(f""No log file found: {log_file}"")
    return

# Existing append processing continues below...
```"
Page 10,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: Verification

**[Visual Direction]**
Panel 1: Alex reviews the diff. He sees the new `if` block for `--day` and sees the old code is safe. He clicks the ""Accept"" button.
Panel 2: Alex opens the terminal and types the command. `python log.py --day 2025-01-21`.
Panel 3: The terminal outputs the lines for that date. Alex smiles.

**[Target Text]**
Alex: ""It looks good. It didn't touch the append part. I'll click **Accept**.""
David: ""Now, the most important part: **Run it**.""
Alex: ""Running `python log.py --day 2025-01-21`...""
Terminal: 
> [2025-01-21] Started Chapter 5
> [2025-01-21] Learned Composer basics
Alex: ""It works! Only today's lines appeared!"""
