Page,Template,Prompt
Page 1,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Chapter 3: Your First Code: Logging What You Did Today in One Line

**[Visual Direction]**
A high-quality manga cover illustration. In the center, Alex [Ref: REF_IMG_1] is sitting at his desk, looking satisfied as he types on a holographic keyboard projecting from a laptop. Beside him, the Cursor mascot [Ref: REF_IMG_2] is giving a thumbs up. In the background, a stylized visualization of a log file (lines of text with timestamps) flows like a data stream. The atmosphere is productive and modern. Title text is bold and prominent.

**[Target Text]**
Chapter 3
Your First Code: Logging What You Did Today in One Line"
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex

**[Heading]**
- Opening Scene: What to Build? Why Build It?

**[Visual Direction]**
Panel 1: Alex is sitting at his desk in his apartment. He is looking at a simple text file on his monitor, looking slightly bored or annoyed. He has paused while typing a date.
Panel 2: Close up on Alex's thought bubble. He imagines a repetitive cycle: Opening a file -> Typing Date -> Writing content -> Saving. It looks tedious.
Panel 3: Alex sighs, leaning back in his chair.

**[Target Text]**
Alex (thinking): ""I want to record what I did today every day... but opening the file, typing the date, writing the content, saving—it's simple but slightly tedious.""
Alex (thinking): ""I can't keep it up. The date format also varies every time..."""
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- The Solution: Automation

**[Visual Direction]**
Panel 1: David appears on a video call screen on Alex's monitor. He looks encouraging.
Panel 2: David explains with a finger raised, proposing a solution. Alex listens intently.
Panel 3: Alex leans forward, looking motivated. The ""Purpose"" is clear to him now.

**[Target Text]**
Panel 1 David: ""You can make that easier with code. Let's build a script that appends a one-line entry with a date to a log.""
Panel 1 David: ""Just pass what you did in one line. Since it's something you do daily, saving a little effort makes it easier to maintain.""
Panel 1 Alex: ""Something simple but slightly tedious that I need to do daily—that's exactly it. The purpose is clear.""

Panel 2 David: ""Let's clarify the **goal**. What we're building is 'a script that appends what you did today in one line to a log'.""
Panel 2 David: ""Input is **what you did** (e.g., `"Wrote Chapter 3 draft"`), output is **date + time + that one line** appended to a log file.""
Panel 2 David: ""Just type `python log.py "something"` in the terminal.""
Panel 2 Alex: ""Knowing the purpose motivates me. Let's do it."""
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- What We Will Build

**[Visual Direction]**
A clean infographic illustrating the flow of the script.
Top: ""Input"" box showing a terminal command: `python log.py ""Wrote Chapter 3 draft""`.
Middle: An arrow pointing down labeled ""Process"". Inside the arrow, icons for ""Get Date/Time"" and ""Append to File"".
Bottom: ""Output"" box showing a text file `daily_log.txt` with a new line added: `2025-01-21 14:30 Wrote Chapter 3 draft`.
Cursor mascot [Ref: REF_IMG_2] is pointing to the output.

**[Target Text]**
Goal: A script that appends what you did today in one line to a log.

Input: Command-line argument
`python log.py ""Wrote Chapter 3 draft""`

Output: Appended to daily_log.txt
`2025-01-21 14:30 Wrote Chapter 3 draft`

Why?: Automate the tedious parts (opening file, typing date) to make daily logging a breeze."
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section 3.1: Creating a Project

**[Visual Direction]**
Panel 1: Alex is creating a new folder on his desktop named `daily_log`.
Panel 2: Alex opens Cursor. David guides him to the ""File"" menu.
Panel 3: Alex sees the empty `daily_log` folder appear in the Cursor sidebar (Explorer).

**[Target Text]**
David: ""First, create a project folder and open it in Cursor. Name it `daily_log`. Location can be anywhere you like.""
David: ""In Cursor, select 'Open Folder' → `daily_log`. Shortcut: ⌘+O (Mac) or Ctrl+K Ctrl+O (Windows).""
Alex: ""Got it. The folder is open in the sidebar."""
Page 6,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- How to Open a Project

**[Visual Direction]**
A step-by-step visual guide with screenshots or simplified UI mockups.
Step 1: Icon of a folder named `daily_log` on a desktop.
Step 2: Cursor Menu highlighting ""File"" > ""Open Folder"".
Step 3: A file dialog box selecting `daily_log`.
Step 4: The Cursor Explorer sidebar showing `DAILY_LOG` at the top.

**[Target Text]**
Step 1: Create a `daily_log` folder (Desktop or Documents).
Step 2: In Cursor, click ""File"" → ""Open Folder"".
Step 3: Select the `daily_log` folder and click ""Open"".
Step 4: Verify `daily_log` appears in the left EXPLORER panel.

Point: Folder = One Project. All your files will live here."
Page 7,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Creating the Script File

**[Visual Direction]**
Panel 1: Alex right-clicks on the `daily_log` folder in the sidebar.
Panel 2: He selects ""New File"" and types `log.py`.
Panel 3: David explains the plan for the script arguments.

**[Target Text]**
Alex: ""Right-click `daily_log`... New File... `log.py`.""
David: ""Exactly. We'll create a Python script. When running it, we'll pass 'what you did' as an argument in the terminal.""
David: ""Like this: `python log.py 'what you did'`."""
Page 8,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section 3.2: Writing Code—Understanding Input

**[Visual Direction]**
Panel 1: Alex types `import sys` and `from datetime import datetime`. He looks focused.
Panel 2: David explains the role of `sys` and `datetime` via a floating bubble next to the code.
Panel 3: Alex nods, understanding the flow. ""Input is the argument, Output is the file.""

**[Target Text]**
Alex: ""`import sys`... `from datetime import datetime`...""
David: ""`sys` receives the command-line arguments (your text). `datetime` gets the current timestamp.""
Alex: ""Input is what I did, output is appending to a file with the date. Simple."""
