Page,Template,Prompt
Cover,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor
[Ref: REF_IMG_3] :: David

**[Heading]**
- Chapter Title: Chapter 7: @Mentions — Directing AI's Attention

**[Visual Direction]**
High-quality manga cover art. Central focus on Alex holding a futuristic 'spotlight' or 'lens' tool, shining it on a specific file icon labeled 'log.py' floating in a sea of other files. The spotlight beam is blue and digital. In the background, David smiles approvingly. Cursor (the mascot) is sitting on the spotlight, pointing forward. The atmosphere is professional yet dynamic, symbolizing focus and precision.

**[Target Text]**
(Title) Learn Cursor IDE
(Chapter) Chapter 7: @Mentions — Directing AI's Attention
(Subtitle) The Visual Guide to AI-Powered Development"
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex

**[Heading]**
- Section: Opening Scene

**[Visual Direction]**
Panel 1: Alex is sitting at his desk in his apartment, looking frustrated at his monitor. The screen shows the Cursor Chat interface with a slightly off-target answer.
Panel 2: Close up of the screen. Alex's query is ""How can I make the --day feature in log.py more user-friendly?"". The AI response references content from `daily_log.txt` instead of just the python file.
Panel 3: Alex thinking bubble. He looks puzzled, hand on chin.

**[Target Text]**
Panel 1 Alex: ""Hmm... this answer isn't quite right.""
Panel 2 (Screen): ""Based on daily_log.txt, here is a suggestion...""
Panel 3 Alex (Thinking): ""I asked about `log.py`, but it's reading the text file too. It's getting confused between the two files."""
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: The Solution Appears

**[Visual Direction]**
Panel 1: David appears on a video call window on Alex's secondary monitor. He looks calm and helpful.
Panel 2: David holding up a finger, explaining a concept. Alex looks attentive.
Panel 3: Alex looks excited, ready to type.

**[Target Text]**
Panel 1 David: ""You can solve that with **@Mentions**. We used `@Codebase` in Chapters 1 and 4, but when you want to show **only specific files**, use `@Files`.""
Panel 1 David: ""If you write `@log.py`, Cursor will reference **only that file** to answer.""
Panel 1 Alex: ""I can specify files. I want to try it.""

Panel 2 Alex: ""How do I choose between `@Codebase` and `@Files`?""
Panel 2 David: ""**When you know the specific file** → `@Files`. **When you want to search the entire project** → `@Codebase`.""
Panel 2 David: ""There's also `@Recommended` where Cursor **recommends related files**. Let's try it in `daily_log`."""
Page 3,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Chapter Overview

**[Visual Direction]**
A clean, diagrammatic infographic explaining the ""Context Problem"".
Top half: ""The Problem"" - A chaotic web where the AI is trying to look at every file in the folder, leading to confusion. Red 'X' marks.
Bottom half: ""The Solution"" - A clean beam of light connecting the AI directly to one specific file using the `@` symbol. Green check marks.

**[Target Text]**
(Title) What You Will Learn in Chapter 7
(Problem) Without guidance, Cursor doesn't know **which files** are relevant. It might read unrelated files and give wrong answers.
(Solution) Use **@Mentions** to control the scope.
(Key Tools)
- **@Files**: Specify exact files.
- **@Codebase**: Search the whole project.
- **@Recommended**: Let Cursor guess relevant files."
Page 4,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 7.1 The Problem—""AI Doesn't Know Which Files to Look At""

**[Visual Direction]**
Panel 1: David explaining with a serious expression. Background shows a metaphor of a library with too many books.
Panel 2: Alex asking a question, leaning forward.
Panel 3: David responding with a smile, gesturing to the keyboard.

**[Target Text]**
Panel 1 David: ""In a real project, you might have hundreds of files. If you ask a vague question, Cursor tries to guess the context, but it can get overwhelmed or distracted.""
Panel 2 Alex: ""Is that why `@Codebase` sometimes feels slow for simple edits?""
Panel 3 David: ""Exactly. `@Codebase` searches everything. If you **know** the file you want to edit, pointing directly to it with `@Files` is much faster and more accurate."""
Page 5,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Why Context Matters

**[Visual Direction]**
Comparison visualization between ""Broad Search"" and ""Pinpoint Focus"".
Left side: An icon of a heavy weight labeled ""@Codebase"". Text: ""Scans entire project. Good for discovery, but heavy.""
Right side: An icon of a laser pointer labeled ""@Files"". Text: ""Points to one file. Fast, precise, lightweight.""

**[Target Text]**
(Title) Choosing the Right Scope
(Left: @Codebase)
- **Scope:** Entire Project
- **Speed:** Slower
- **Use Case:** ""Where is the login logic?"" (Discovery)
(Right: @Files)
- **Scope:** Specific Files
- **Speed:** Instant
- **Use Case:** ""Refactor this function in log.py"" (Editing)"
Page 6,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 7.2 Using @Files to Specify Files

**[Visual Direction]**
Panel 1: Close up of Alex's keyboard as he presses the `@` key.
Panel 2: The screen shows the dropdown menu appearing in the Chat input box. Options like 'Files', 'Codebase', 'Docs' are visible.
Panel 3: Alex clicking on `log.py` in the list.

**[Target Text]**
Panel 1 David (Voiceover): ""Go ahead. Type `@` in the chat input.""
Panel 2 Alex: ""A menu popped up! I see 'Files', 'Codebase', and 'Docs'.""
Panel 3 David: ""Select 'Files', or just start typing the filename. Choose `log.py`."""
Page 7,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: How to Use @Files

**[Visual Direction]**
A step-by-step UI guide with numbered screenshots.
1. User typing `@` in the input bar.
2. The dropdown menu highlighting `Files`.
3. The user selecting `log.py`.
4. The result: A blue pill/tag labeled `@log.py` sitting in the text box.

**[Target Text]**
(Step 1) Type `@` in the Chat (Cmd+L) or Composer (Cmd+I) input field.
(Step 2) A dropdown menu appears. Select **Files** (or type the filename directly).
(Step 3) Click the file you want from the list.
(Step 4) A **'Pill'** (tag) like `@log.py` appears. Now Cursor is focused ONLY on this file."
Page 8,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: The Result of Focus

**[Visual Direction]**
Panel 1: Alex typing his prompt next to the `@log.py` pill.
Panel 2: Cursor (the character) appearing on screen, holding a magnifying glass strictly over a document labeled 'log.py', ignoring a pile of other papers.
Panel 3: The code output on screen. It is perfect and relevant.

**[Target Text]**
Panel 1 Alex (Typing): ""`@log.py` Improve the --day feature to handle 0 matching lines.""
Panel 2 Cursor: ""Understood! I am looking ONLY at `log.py`. I won't get distracted by `daily_log.txt`.""
Panel 3 Alex: ""It worked! The suggestion is exactly what I wanted, and it didn't mix up the file formats."""
Page 9,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Multiple Files Strategy

**[Visual Direction]**
Panel 1: Alex asking a follow-up question. ""What if I need two files?""
Panel 2: David explaining with hand gestures indicating 'combining'.
Panel 3: Screen showing the input box with two pills: `@log.py` and `@daily_log.txt`.

**[Target Text]**
Panel 1 Alex: ""Sometimes I need to check consistency between the code and the data file. Can I tag both?""
Panel 2 David: ""Absolutely. Just add another pill. Type `@log.py` and then `@daily_log.txt`.""
Panel 3 Alex: ""Like this? `@log.py` `@daily_log.txt` Check for format consistency.""
David: ""Perfect. Now it sees the relationship between them."""
