Page,Template,Prompt
Cover,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Chapter Title: Finding Code with Smart Search

**[Visual Direction]**
A high-quality manga cover illustration. Center composition. Alex [Ref: REF_IMG_1] is looking at a holographic code interface with a magnifying glass icon, looking enlightened. The Cursor mascot [Ref: REF_IMG_2] is flying next to him, pointing at a glowing line of code. Background features a stylized library or database visualization, symbolizing the 'Codebase'. Title text is prominent.

**[Target Text]**
Chapter 4: Finding Code with Smart Search
""Where was that code?"" Solved in seconds."
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex

**[Heading]**
- Section: Opening Scene — The Problem

**[Visual Direction]**
Panel 1: Alex is sitting at his desk, looking frustrated at his monitor. The screen shows `log.py`.
Panel 2: Close up on the monitor. A standard ""Find"" bar (Ctrl+F) is open with the word ""write"". Multiple matches are highlighted, cluttering the screen.
Panel 3: Alex leans back, sighing, hand on his forehead. He looks overwhelmed by scrolling.

**[Target Text]**
Alex (thought): ""I want to change the date format... but where did I write that logic?""
Alex (thought): ""Searching for 'write' gives me too many results. I can't find the exact spot.""
Alex: ""Ugh, scrolling through files is such a pain. Where was that code?"""
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: The Solution Appears

**[Visual Direction]**
Panel 1: A video call window pops up on the screen. David [Ref: REF_IMG_3] appears, smiling calmly.
Panel 2: David is explaining, holding up a finger. Alex looks surprised and hopeful.
Panel 3: Close up on David's face, emphasizing the key concept.

**[Target Text]**
David: ""Struggling to find code? You're using the old way.""
David: ""Use Cursor's **Smart Search**. Search by **Meaning**, not just keywords.""
David: ""Ask Chat 'where is the code that appends to the log?' and it will tell you the relevant code.""
David: ""With `@Codebase`, it looks at the entire project, so you don't need to specify files yourself."""
Page 3,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Traditional Search vs. Smart Search

**[Visual Direction]**
An infographic comparing two search methods. 
Left side (Gray/Dull): ""Traditional Search (Ctrl+F)"". Shows a user typing exact strings like ""f.write"" and getting lost in too many matches. 
Right side (Blue/Bright): ""Smart Search (@Codebase)"". Shows a user typing a natural question ""Where do I save logs?"" and getting one direct answer. The Cursor mascot [Ref: REF_IMG_2] is on the right side, giving a thumbs up.

**[Target Text]**
**The Problem:**
- Requires exact keywords.
- ""write"" matches everywhere.
- Hard for beginners who forget syntax.

**The Solution (Smart Search):**
- Search by **Meaning** (What you want to do).
- ""Where is the date format?""
- Scans the entire project context."
Page 4,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 4.1 The Concept of Meaning

**[Visual Direction]**
Panel 1: David is explaining via the screen. Alex is nodding, understanding the logic.
Panel 2: A thought bubble from Alex showing him visualizing ""What I want to do"" vs ""Code syntax"".
Panel 3: Alex turns to his keyboard, ready to type. David is guiding him.

**[Target Text]**
David: ""As code grows, you forget file names and syntax. That's normal.""
David: ""But you never forget **what the code does**. 'Receiving arguments', 'Setting dates', 'Appending logs'.""
Alex: ""Exactly! I know what I want to do, I just don't know the terms.""
David: ""Then ask exactly that. Let's try it with **@Codebase**."""
Page 5,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
None

**[Heading]**
- Section: How to Ask Good Questions

**[Visual Direction]**
A comparison table infographic titled ""Asking the Right Questions"". 
Visual icons for 'Bad' (Red X) and 'Good' (Green Check).
The layout is clean and easy to read. 

**[Target Text]**
**HOW TO SEARCH BY MEANING**

❌ **Bad (Vague Keywords)**
- `@Codebase error`
- `@Codebase file`
- `@Codebase date`
(Too broad, Cursor doesn't know what you want)

✅ **Good (Specific Intent)**
- `@Codebase Where is the code that appends to the log file?`
- `@Codebase Where do I receive command arguments?`
- `@Codebase Where is the date format (YYYY-MM-DD) set?`
(Specific sentences help Cursor find the exact logic)"
Page 6,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 4.2 Step-by-Step Search

**[Visual Direction]**
Panel 1: Alex presses `Cmd+L` (or Ctrl+L). The Chat panel slides in smoothly from the right side of the IDE.
Panel 2: Alex types the `@` symbol in the input box. A dropdown menu instantly appears.
Panel 3: Close up on the dropdown menu highlighting options: `Codebase`, `Files`, `Docs`.

**[Target Text]**
David: ""First, open Chat with `Cmd+L` (Mac) or `Ctrl+L` (Win).""
Alex: ""Okay, it's open.""
David: ""Now type **@**. This tells Cursor **where** to look.""
Alex: ""Oh, a menu popped up! Codebase, Files..."""
Page 7,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Selecting @Codebase

**[Visual Direction]**
Panel 1: Alex clicks on `Codebase` in the dropdown. A blue pill/tag saying `@Codebase` appears in the text field.
Panel 2: David explains the significance of this action. Background shows a visual metaphor of Cursor scanning a stack of files.
Panel 3: Alex continues typing his question after the tag.

**[Target Text]**
David: ""Select **Codebase**. This means 'Search the entire project'.""
David: ""Without this, Chat only sees the file you have open. With `@Codebase`, it sees everything.""
Alex: ""Got it. Now I just ask my question naturally?""
Alex (typing): ""@Codebase Where is the code that appends to the log file?"""
Page 8,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Getting the Answer

**[Visual Direction]**
Panel 1: Alex hits Enter. The Cursor mascot [Ref: REF_IMG_2] appears briefly on screen with a ""Thinking..."" icon.
Panel 2: The Chat window displays the answer. It shows a snippet of code quoted from `log.py`.
Panel 3: Alex clicks the quoted code link. The main editor instantly jumps to that specific line.

**[Target Text]**
Cursor: ""The code that appends to the log is in `log.py` around line 12.""
Cursor: `with open(log_file, ""a"", encoding=""utf-8"") as f:`
Alex: ""Whoa! It found it. And I can click to jump right there!""
Alex: ""No scrolling required."""
Page 9,practical_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Summary of Steps

**[Visual Direction]**
A clear, step-by-step numbered list or flowchart illustrating the Smart Search process. The Cursor mascot [Ref: REF_IMG_2] guides the eye down the list. Screenshots of the UI elements (Chat input, @ dropdown, Send button) are included for clarity.

**[Target Text]**
**Step-by-Step: Searching with @Codebase**

1. **Open Chat**: Press `Cmd+L` (Mac) / `Ctrl+L` (Win).
2. **Type @**: Click the input field and type `@`.
3. **Select Codebase**: Choose `Codebase` from the dropdown menu.
4. **Ask**: Type your question in plain English (e.g., ""Where is the date format?"").
5. **Send**: Press Enter or click the Send button.
6. **Navigate**: Click the file link in the answer to jump to the code."
