Page,Template,Prompt
Cover,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Chapter 13: The 70% Problem — Completing AI-Generated Code

**[Visual Direction]**
A high-quality cover illustration. In the center, a large pie chart graphic is split into a solid 70% (labeled 'AI Generated') and a glowing, puzzle-piece style 30% (labeled 'Missing: Safety, Security, Speed'). Alex [Ref: REF_IMG_1] stands in the foreground holding a glowing puzzle piece representing the 30%, looking determined. David [Ref: REF_IMG_3] stands behind him, nodding approvingly. The background features the Cursor IDE interface subtly blended with a futuristic city skyline. Title text is prominent.

**[Target Text]**
Chapter 13: The 70% Problem — Completing AI-Generated Code"""
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_2] :: Cursor
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Opening Scene: What's the Problem?

**[Visual Direction]**
Panel 1: Alex [Ref: REF_IMG_1] is at his desk, typing into Cursor's Composer. He looks satisfied but slightly hesitant. The screen shows code for `log.py`.
Panel 2: Alex runs the code in the terminal. It works, but he has a thought bubble envisioning a crash.
Panel 3: David [Ref: REF_IMG_3] appears on a video call window on the monitor.

**[Target Text]**
Panel 1 Alex instructs Cursor's **Composer**: ""Add error handling to `log.py` for when trying to read a non-existent file."" Composer generates code.
Panel 1 Alex (thinking): ""The code works, but I feel **error handling is missing**. When trying to read a non-existent file, it might stop with an error...""

Panel 2 Alex runs `python log.py ""test""` in the terminal to verify the code works.
Panel 2 Alex (thinking): ""It works now, but **when unexpected errors occur**, the program might stop. However, **the code works, so do I need to complete the remaining 30%?**""

Panel 3 David: ""That's called the **70% problem**. Code generated by AI is often only **about 70% complete**.""
Panel 3 David: ""The remaining 30% includes error handling, security, performance, etc. Let's use Cursor's **Chat** and **Composer** to complete the remaining 30%.""
Panel 3 Alex: ""What does the 70% problem mean? Also, **the code works, so do I need to complete the remaining 30%?**"""""
Page 2,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: The 70% Problem Overview

**[Visual Direction]**
A clean infographic explaining the chapter's core concept. 
Top: A header ""The 70% Problem"".
Middle: A visual equation: ""AI Generated Code (70%) + Human Completion (30%) = Production Ready (100%)"". The 30% block lists ""Error Handling"", ""Security"", and ""Performance"".
Bottom: A checklist of benefits: ""Safe from crashes"", ""Secure from attacks"", ""Optimized speed"".

**[Target Text]**
Problem: AI code works but stops on unexpected errors.
Solution: Use Cursor to complete the missing 30%.
Benefits: 1. Safe (Error Handling), 2. Secure (Security), 3. Fast (Performance), 4. Production Ready."
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 13.1 The Problem defined

**[Visual Direction]**
Panel 1: David [Ref: REF_IMG_3] is explaining with a serious expression, holding up three fingers.
Panel 2: Alex [Ref: REF_IMG_1] looks concerned, leaning in.
Panel 3: A metaphorical visualization behind David showing a crumbling bridge (representing incomplete code).

**[Target Text]**
Panel 1 David: ""First, let's understand the **70% problem**.""
Panel 1 David: ""Code generated by AI **works for basic functionality**, but often lacks **error handling, security, performance**.""
Panel 1 David: ""This is called the **70% problem**. Without completing the remaining 30%, it becomes code **unusable in production**.""

Panel 2 Alex: ""But **the code works, so do I need to complete the remaining 30%?**""
Panel 2 David: ""The code works, but **when unexpected errors occur**, the program stops.""
Panel 2 David: ""Also, **insufficient security** makes it easier to attack. **Poor performance** makes it unusable for users.""
Panel 2 David: ""Without completing the remaining 30%, it becomes code **unusable in production**.""

Panel 3 Alex: ""What happens if I don't solve the 70% problem?""
Panel 3 David: ""If you don't solve the 70% problem: (1) **program stops when errors occur** (no error handling), (2) **security holes appear** (no security measures), (3) **poor performance** (not optimized), (4) **unusable in production** (error handling, security, performance aren't in place)."""
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
None

**[Heading]**
- Section: Risks of the 70% Problem

**[Visual Direction]**
A warning-style infographic. 
Four red warning boxes arranged in a grid.
Box 1: Icon of a skull/crash. Text: ""No Error Handling = Program Stops"".
Box 2: Icon of a hacker. Text: ""No Security = Easy to Attack"".
Box 3: Icon of a snail. Text: ""No Optimization = Poor Performance"".
Box 4: Icon of a 'Not Allowed' sign. Text: ""Result = Unusable in Production"".

**[Target Text]**
What happens if you don't solve the 70% Problem?
1. Program stops when errors occur.
2. Security holes appear.
3. Poor performance frustrates users.
4. Unusable in production environments."
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 13.2 Why it needs to be solved

**[Visual Direction]**
Panel 1: David [Ref: REF_IMG_3] points to a specific line of code on the screen.
Panel 2: Alex [Ref: REF_IMG_1] imagines a user getting an angry error message.
Panel 3: David smiles, explaining the peace of mind that comes with fixing it.

**[Target Text]**
Panel 1 David: ""Let's see specifically **what happens if you don't solve the 70% problem**.""
Panel 1 David: ""For example, when trying to read a non-existent file in `log.py`, **without error handling**, the program stops.""
Panel 1 David: ""Adding error handling lets you **handle errors safely**.""

Panel 2 Alex: ""But **the code works, so do I need to complete the remaining 30%?**""
Panel 2 David: ""The code works, but **when unexpected errors occur**, the program stops.""
Panel 2 David: ""Also, **insufficient security** makes it easier to attack. **Poor performance** makes it unusable for users.""
Panel 2 David: ""Without completing the remaining 30%, it becomes code **unusable in production**."""
Page 6,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
None

**[Heading]**
- Section: Ignored vs Solved (Part 1)

**[Visual Direction]**
A comparison table split down the middle. 
Left Side (Red/Dark): ""Ignored"". Visual of a broken gear.
Right Side (Blue/Bright): ""Solved"". Visual of a smooth spinning gear.
Row 1: ""When Errors Occur"". Left: ""Crash"". Right: ""Safe Recovery"".

**[Target Text]**
What happens if you ignore vs solve the problem?
Scenario: An unexpected error occurs.
Ignored: No error handling -> Program Crashes.
Solved: Error handling exists -> Safe operation continues."
Page 7,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
None

**[Heading]**
- Section: Ignored vs Solved (Part 2)

**[Visual Direction]**
Continuation of the comparison table from the previous page.
Row 2: ""Security"". Left: Open lock icon. Right: Shield icon.
Row 3: ""Performance"". Left: Loading spinner. Right: Lightning bolt.

**[Target Text]**
Scenario: Security & Performance.
Ignored: No measures -> Vulnerable to attacks & Slow.
Solved: Measures in place -> Secure & High Performance."
Page 8,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: 13.3 What is missing?

**[Visual Direction]**
Panel 1: David [Ref: REF_IMG_3] holds up a checklist.
Panel 2: Alex [Ref: REF_IMG_1] is taking notes on a tablet.
Panel 3: Close up of the three main missing elements written in the air or on a hologram.

**[Target Text]**
Panel 1 David: ""Let's break down the 'Missing 30%'. It consists of three pillars.""
Panel 1 Alex: ""What specifically are they?""

Panel 2 David: ""(1) **Error handling**: When trying to read a non-existent file, handle errors safely (e.g., use `try-except` blocks).""
Panel 2 David: ""(2) **Security**: When receiving user input, prevent malicious input (e.g., validate input).""
Panel 2 David: ""(3) **Performance**: When processing large amounts of data, process efficiently (e.g., optimize loops).""""

Panel 3 Alex: ""I want to actually check what's missing in `daily_log`.""
Panel 3 David: ""Let's look at `log.py` and check if **error handling, security, performance** are in place.""
Panel 3 David: ""Ask Cursor's **Chat** 'Review `log.py` code and check if error handling, security, and performance are in place' and it will tell you what's missing."""
Page 9,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
None

**[Heading]**
- Section: Pillar 1: Error Handling

**[Visual Direction]**
A detailed diagram focusing on Error Handling.
Visual: A flowchart showing a file read operation. 
Path A (No handling): Hits 'File Not Found' -> Explosion icon -> 'Crash'.
Path B (With handling): Hits 'File Not Found' -> Shield icon (Try/Except) -> 'Graceful Message'.

**[Target Text]**
What is Error Handling?
Example: Reading a non-existent file.
Without it: Program stops with an error.
With it: Use `try-except` blocks to handle the error safely."
