Page,Template,Prompt
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section: Opening Scene — The Fear of Breaking Code

**[Visual Direction]**
Panel 1: Alex is sitting at his desk in a modern apartment, looking stressed. On his monitor, a code editor is open showing `log.py`. He is hesitating to type.
Panel 2: Close up of Alex's finger hovering over the Enter key. He looks worried. A thought bubble shows a mental image of his code shattering like glass.
Panel 3: David appears on a video call window on the screen, looking calm and reassuring.

**[Target Text]**
Alex (thinking): ""I want to improve the --day feature... But what if I break the normal log append function?""
Alex (thinking): ""It works now when I test it manually... but checking every single time is so tedious. And risky.""
David: ""You can solve that by writing **tests**, Alex. They automatically verify your features aren't broken whenever you change code."""
Page 2,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Chapter Overview

**[Visual Direction]**
A clean, modern infographic layout. Top half shows the ""Problem"" with an icon of a person sweating over broken code. Bottom half shows the ""Solution"" with the Cursor logo and a shield icon representing tests.

**[Target Text]**
Panel 1 Alex: ""When I specify a date with `--day`, I want it to display 'No log for that day' if the date doesn't exist.""
Panel 1 Alex (thinking): ""But I'm worried existing features might break... What if changing `--day` makes the normal log append feature stop working?""

Panel 2 Alex runs `python log.py "test"` in the terminal to verify the normal log append works.
Panel 2 Alex (thinking): ""It works now, but **it might break when changed later**. However, **manually checking every time is tedious**...""

Panel 3 David: ""You can solve that by writing **tests**. Writing tests lets you **automatically verify that existing features aren't broken when you change code**.""
Panel 3 David: ""Ask Cursor's **Chat** or **Composer** to 'generate tests for `log.py`' and it will automatically generate test code.""
Panel 3 Alex: ""How do I write tests? Also, **the code works, so do I need to write tests?**"""
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section 11.1: The Problem — ""I Don't Know How to Write Tests""

**[Visual Direction]**
Panel 1: David is explaining with a finger raised. Alex is listening intently.
Panel 2: Alex looks skeptical, imagining a clock showing wasted time.
Panel 3: David smiles and gestures to the Cursor interface. Alex looks relieved.

**[Target Text]**
Panel 1 David: ""First, understand **why**. Even if code works now, it might break later.""
Panel 1 David: ""Tests verify everything is safe with one command.""
Panel 1 Alex: ""But can't I just check manually every time?""

Panel 2 David: ""Manual checking takes time and you might miss things. Tests are instant and precise.""
Panel 2 Alex: ""But I don't know how to write test code...""

Panel 3 David: ""That's okay! You don't need to learn the syntax from scratch.""
Panel 3 David: ""**Cursor generates them for you**. You just need to understand the results."""
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_2] :: Cursor

**[Heading]**
- Section: Manual vs. Automated Testing

**[Visual Direction]**
A comparison diagram. Left side: ""Without Tests"" (Chaos, delayed bugs, fear of change). Right side: ""With Tests"" (Stability, instant feedback, confidence).

**[Target Text]**
**What happens if you DON'T write tests?**
- ⚠️ **Broken Features**: You don't notice when old features break.
- 🐢 **Delayed Discovery**: Bugs are found by users in production.
- 😨 **Fear**: You hesitate to improve code.

**What happens if you DO write tests?**
- ✅ **Automatic Safety**: Verify everything instantly.
- 🚀 **Early Detection**: Fix bugs before they leave your machine.
- 💪 **Confidence**: If tests pass, your changes are safe.
- 📖 **Documentation**: Tests show others how your code works."
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1] :: Alex
[Ref: REF_IMG_3] :: David

**[Heading]**
- Section 11.2: Why Tests Are Needed

**[Visual Direction]**
Panel 1: David uses a visual metaphor of a Jenga tower. Pulling one block (changing code) might make the tower fall (breaking features).
Panel 2: Alex looks at his code, realizing the fragility.
Panel 3: Close up of David emphasizing the ""Early Detection"" aspect.

**[Target Text]**
David: ""Imagine improving the `--day` feature. Without tests, you might not notice the normal log function stopped working until next week.""
Alex: ""It works now... but I see your point. It's about **future safety**.""
David: ""Exactly. Catching a bug now takes 5 minutes. Catching it in production could take days."""
