Page,Template,Prompt
Page 1,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Character Reference]
- [Ref: REF_IMG_1] :: Alex
- [Ref: REF_IMG_3] :: David

[Heading]
- Section: Opening Scene

[Visual Direction]
Alex's apartment at night. [Ref: REF_IMG_1] is sitting at his desk, looking at a screen filled with simple JSON files. He looks frustrated, scratching his head. A video call window pops up with [Ref: REF_IMG_3] smiling from a modern office.

[Target Text]
Panel 1 Alex: ""The ToDo app and API integration app are complete, but I want to **persistently save data**. With JSON files, managing data becomes difficult as it grows...""
Panel 1 Alex (thinking): ""I heard that using a database lets you **persistently save data**. But **what is a database? How do I use it?**""

Panel 2 David: ""Let's build a **database app**. A database is a mechanism to **persistently save data**.""
Panel 2 David: ""Using SQLite, a lightweight database, makes it easy to build database apps. You can build database apps using Cursor's **Chat** and **Composer**.""
Panel 2 Alex: ""How do I build a database app? **What is a database? How do I use it?**""

Panel 3 David: ""Let's build it **step by step** together.""
Panel 3 David: ""First, understand **what a database is**, then use Cursor's **Chat** and **Composer** to build a database app **step by step**. We'll learn **CRUD operations**, **security**, and **tests** together too."""
Page 2,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Heading]
- Section: Opening Scene

[Visual Direction]
A clean roadmap infographic. At the top, a title 'Project 3: User Management App'. Below it, four main icons representing: Database Design, CRUD Operations, Security, and Testing. A 'Tools Used' section shows the Cursor logo, Python, and SQLite icons.

[Target Text]
What we'll build: A Database App to manage user info.
What we'll learn:
- Database design basics
- CRUD (Create, Read, Update, Delete)
- Security (SQL Injection prevention)
- Testing with pytest
Tools: Cursor Chat (⌘L), Composer (⌘I), Python sqlite3 library."
Page 3,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Character Reference]
- [Ref: REF_IMG_1] :: Alex
- [Ref: REF_IMG_3] :: David

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
[Ref: REF_IMG_3] is using his hands to gesture a grid shape. [Ref: REF_IMG_1] is listening intently, leaning forward. On the screen between them, a simple spreadsheet-like grid appears with headers: ID, Name, Email.

[Target Text]
Panel 1 David: ""Think of a database as a structured way to save data. It uses 'tables' which are like spreadsheets.""
Panel 1 Alex: ""So instead of a messy text file, I have columns like 'id', 'name', and 'email'?""

Panel 2 David: ""Exactly! Using SQLite, we can manage these tables efficiently.""
Panel 2 David: ""Let's ask Cursor to help us design the structure."""
Page 4,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
A 3D diagram of a database table. Labels point to different parts: 'Table' (the whole container), 'Column' (the vertical ID/Name/Email headers), 'Record' (a single horizontal row of data), and 'Database' (the file containing multiple tables).

[Target Text]
Database Anatomy:
1. Database: The mechanism to save data persistently.
2. Table: The structure for data (e.g., 'users' table).
3. Column: The categories (e.g., 'name', 'email').
4. Record: An individual entry (e.g., Alex's info).
Benefits: Persistence, Efficiency, Complex Searches, Data Integrity."
Page 5,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Character Reference]
- [Ref: REF_IMG_1] :: Alex
- [Ref: REF_IMG_2] :: Cursor

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
[Ref: REF_IMG_1] opens the Cursor Chat panel (⌘L). He types with focus. [Ref: REF_IMG_2] appears as a small helpful avatar next to the chat bubble, suggesting a folder structure.

[Target Text]
Alex: OK, let's try. 'I want to build a database app that manages user information. Use SQLite. Suggest a project structure.'
Cursor: I'll suggest a structure: user_db_app/ folder with user_db.py, database.db, and test_user_db.py.
Alex: It even planned the test file already!"
Page 6,practical_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
A screenshot of a terminal-style file tree and a code block. Highlights on the file names.

[Target Text]
[Project Structure Suggestion]
user_db_app/
├── user_db.py      # Main application logic
├── database.db     # SQLite database file (auto-generated)
└── test_user_db.py # Unit tests

Steps in Chat:
1. Open Chat (⌘L / Ctrl+L)
2. Enter the prompt for structure.
3. Review the suggested files before generating."
Page 7,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Character Reference]
- [Ref: REF_IMG_1] :: Alex
- [Ref: REF_IMG_2] :: Cursor

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
[Ref: REF_IMG_1] switches to Composer (⌘I). A large generation window appears. [Ref: REF_IMG_2] is busy 'building' the code, represented by blue light beams hitting the screen. Alex looks impressed.

[Target Text]
Alex (input): Create a user_db_app folder and user_db.py. Use SQLite for user info with id, name, and email columns.
Cursor: Generating the database initialization and main functions...
Alex: Wow, it's writing the SQL commands inside the Python code automatically!"
Page 8,practical_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Heading]
- Section: 16.1 Database Design

[Visual Direction]
A code snippet of the `init_db` function from the generated `user_db.py`. Syntax highlighting is clear.

[Target Text]
[Initial user_db.py Code]
```python
import sqlite3
DB_FILE = ""database.db""

def init_db():
    conn = sqlite3.connect(DB_FILE)
    cursor = conn.cursor()
    cursor.execute(""""""
        CREATE TABLE IF NOT EXISTS users (
            id INTEGER PRIMARY KEY AUTOINCREMENT,
            name TEXT NOT NULL,
            email TEXT NOT NULL UNIQUE
        )
    """""")
    conn.commit()
    conn.close()
```
Action: Click 'Accept' in Composer to save this file."
Page 9,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Character Reference]
- [Ref: REF_IMG_1] :: Alex
- [Ref: REF_IMG_3] :: David

[Heading]
- Section: 16.2 Implementing CRUD Operations

[Visual Direction]
[Ref: REF_IMG_3] points to four large letters appearing in the air: C, R, U, D. [Ref: REF_IMG_1] looks at them, repeating the words.

[Target Text]
David: Now for the heart of any database app: CRUD operations.
Alex: CRUD? Sounds like a monster name.
David: Haha, it stands for Create, Read, Update, and Delete. It's the four things you do with any data!"
Page 10,infographic_page,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

[Heading]
- Section: 16.2 Implementing CRUD Operations

[Visual Direction]
A colorful 4-quadrant diagram. 
1. Create (Icon: Plus sign)
2. Read (Icon: Eye/Magnifying glass)
3. Update (Icon: Pencil)
4. Delete (Icon: Trash can).
Each quadrant has a brief description.

[Target Text]
CRUD Operations:
- Create: Adding new users to the table.
- Read: Fetching user details or listing all users.
- Update: Changing existing user information.
- Delete: Removing a user from the database."
