Page,Template,Prompt
Page 1,Cover,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1], [Ref: REF_IMG_3]

**[Heading]**
- Section: Chapter 9: Debugging Made Simple

**[Visual Direction]**
(Full-page cover illustration. High-quality manga style. The background is a split composition. On one side, a dark, intimidating computer screen filled with red error text (Tracebacks). On the other side, a bright, clean interface of Cursor IDE radiating a soft blue light. [Ref: REF_IMG_1] (Alex) stands in the middle, looking from the dark screen to the bright one with a look of realization. [Ref: REF_IMG_3] (David) stands behind him, pointing confidently toward the Cursor interface. Title text is prominent: ""Chapter 9: Debugging Made Simple"".)

**[Target Text]**
Chapter 9: Debugging Made Simple

Turn Errors into Learning Opportunities."
Page 2,manga_storyboard,"◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.
[Ref: REF_IMG_1] :: [Alex.png]
[Ref: REF_IMG_2] :: [Cursor.png]
[Ref: REF_IMG_3] :: [David.png]
◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations

**[Character Reference]**
[Ref: REF_IMG_1]

**[Heading]**
- Section: Opening Scene

**[Visual Direction]**
(Panel 1: [Ref: REF_IMG_1] (Alex) is sitting at his desk in his apartment. It is evening. He looks tired but focused. He hits ""Enter"" on his keyboard to run a script.
Panel 2: A close-up of the monitor screen showing a terminal window. A harsh red error message pops up: ""TypeError: unsupported format string passed to datetime object"".
Panel 3: Alex slumps in his chair, holding his head. He looks overwhelmed. The error text floats around him visually like a chaotic cloud.)

**[Target Text]**
Panel 1 Alex runs `python log.py "test"` in the terminal. An error message appears.
Panel 1 Alex (thinking): ""An error appeared... What's `TypeError`? What's `datetime object`? I don't know **where the problem is**.""

Panel 2 Alex stares at the error message, unsure what to do.
Panel 2 Alex (thinking): ""I heard I should read error messages, but I don't know **how to read them**. I also don't know where to fix it.""

Panel 3 David: ""When an error appears, **reading the error message** is the first step.""
Panel 3 David: ""Paste the error message into Cursor's **Chat** or **Composer** and ask **what the problem is and how to fix it**—you can solve it quickly.""
Panel 3 Alex: ""Please teach me how to read error messages and how to fix them with Cursor."""
